month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-01,CPS,Tier A,Location 1,394,Offer A|Offer B,Offer A|Offer B,,99
2026-01,CPS,Tier A,Location 1,394,Offer A|Offer B|Offer C|Offer D|Offer F|Offer H|Offer I,Offer D|Offer F|Offer H|Offer I,,214
2026-01,CPS,Tier A,Location 1,220,Offer A|Offer B|Offer C|Offer D|Offer F|Offer H|Offer I,Offer D|Offer I,,27
2026-01,CPS,Tier A,Location 1,185,Offer A|Offer B|Offer C|Offer D|Offer F|Offer I|Offer J,,,26
2026-01,CPS,Tier A,Location 1,220,Offer A|Offer B|Offer C|Offer D|Offer G|Offer H|Offer I,Offer A,,9
2026-01,CPS,Tier A,Location 1,394,Offer A|Offer B|Offer C|Offer D|Offer G|Offer J,Offer B|Offer C|Offer D|Offer G|Offer J,Offer B|Offer C|Offer D|Offer G|Offer J,3
2026-01,CPS,Tier A,Location 1,82,Offer A|Offer B|Offer C|Offer E|Offer F|Offer G|Offer H,Offer H,Offer H,21
2026-01,CPS,Tier A,Location 1,144,Offer A|Offer B|Offer C|Offer E|Offer F|Offer I|Offer J,Offer A|Offer B|Offer C|Offer E|Offer F|Offer I|Offer J,Offer C|Offer I,55
2026-01,CPS,Tier A,Location 1,237,Offer A|Offer B|Offer C|Offer E|Offer G|Offer H|Offer J,Offer E,,68
2026-01,CPS,Tier A,Location 1,83,Offer A|Offer B|Offer C|Offer E|Offer H|Offer I|Offer J,,,35
2026-01,CPS,Tier A,Location 1,185,Offer A|Offer B|Offer C|Offer F|Offer G|Offer H|Offer I,Offer A|Offer B|Offer G|Offer I,Offer A|Offer B|Offer G|Offer I,51
2026-01,CPS,Tier A,Location 1,83,Offer A|Offer B|Offer C|Offer G|Offer I|Offer J,Offer B|Offer C,Offer C,16
2026-01,CPS,Tier A,Location 1,407,Offer A|Offer B|Offer D|Offer E,,,203
2026-01,CPS,Tier A,Location 1,319,Offer A|Offer B|Offer D|Offer E|Offer F|Offer I|Offer J,Offer A|Offer B|Offer D|Offer E|Offer F|Offer I|Offer J,Offer B|Offer D|Offer E|Offer F,96
2026-01,CPS,Tier A,Location 1,324,Offer A|Offer B|Offer D|Offer E|Offer I|Offer J,Offer D|Offer I,Offer D|Offer I,61
2026-01,CPS,Tier A,Location 1,495,Offer A|Offer B|Offer E|Offer F|Offer H,Offer A|Offer B|Offer H,Offer B|Offer H,26
2026-01,CPS,Tier A,Location 1,82,Offer A|Offer B|Offer E|Offer H|Offer J,Offer A|Offer E|Offer H|Offer J,,17
2026-01,CPS,Tier A,Location 1,144,Offer A|Offer C|Offer D|Offer E|Offer G|Offer J,Offer A|Offer D|Offer E,,5
2026-01,CPS,Tier A,Location 1,424,Offer A|Offer C|Offer D|Offer E|Offer I|Offer J,Offer A|Offer E|Offer J,Offer J,30
2026-01,CPS,Tier A,Location 1,495,Offer A|Offer C|Offer E|Offer F|Offer G|Offer H|Offer I,Offer A|Offer C|Offer F|Offer G,,459
2026-01,CPS,Tier A,Location 1,486,Offer A|Offer C|Offer E|Offer F|Offer H|Offer I,Offer F|Offer H,,44
2026-01,CPS,Tier A,Location 1,488,Offer A|Offer C|Offer E|Offer F|Offer H|Offer J,Offer F,Offer F,7
2026-01,CPS,Tier A,Location 1,495,Offer A|Offer C|Offer E|Offer G|Offer H,,,6
2026-01,CPS,Tier A,Location 1,164,Offer A|Offer C|Offer E|Offer H|Offer I|Offer J,Offer C|Offer E|Offer H|Offer I|Offer J,Offer E|Offer H|Offer J,70
2026-01,CPS,Tier A,Location 1,407,Offer A|Offer C|Offer E|Offer I|Offer J,Offer C|Offer E|Offer I|Offer J,,4
2026-01,CPS,Tier A,Location 1,351,Offer A|Offer C|Offer F|Offer G|Offer I|Offer J,Offer A|Offer C|Offer F|Offer I|Offer J,,178
2026-01,CPS,Tier A,Location 1,488,Offer A|Offer C|Offer F|Offer G|Offer J,Offer A|Offer F|Offer G,Offer A|Offer F,91
2026-01,CPS,Tier A,Location 1,220,Offer A|Offer D,,,89
2026-01,CPS,Tier A,Location 1,187,Offer A|Offer D,Offer D,Offer D,88
2026-01,CPS,Tier A,Location 1,83,Offer A|Offer D|Offer E|Offer F|Offer G|Offer I,Offer A|Offer D|Offer E|Offer F|Offer G|Offer I,,11
2026-01,CPS,Tier A,Location 1,58,Offer A|Offer D|Offer E|Offer F|Offer I|Offer J,Offer A|Offer D|Offer E|Offer I|Offer J,Offer I|Offer J,29
2026-01,CPS,Tier A,Location 1,176,Offer A|Offer D|Offer E|Offer H|Offer J,Offer E,Offer E,34
2026-01,CPS,Tier A,Location 1,319,Offer A|Offer D|Offer F|Offer I|Offer J,Offer A|Offer F|Offer I|Offer J,Offer A|Offer F|Offer I|Offer J,22
2026-01,CPS,Tier A,Location 1,488,Offer A|Offer E|Offer F,Offer A,,141
2026-01,CPS,Tier A,Location 1,424,Offer A|Offer E|Offer F|Offer G|Offer H,Offer E|Offer F|Offer G|Offer H,,37
2026-01,CPS,Tier A,Location 1,148,Offer A|Offer E|Offer F|Offer H|Offer I|Offer J,Offer A|Offer E|Offer F|Offer H|Offer I|Offer J,Offer A|Offer E|Offer F|Offer I,16
2026-01,CPS,Tier A,Location 1,197,Offer A|Offer E|Offer F|Offer J,Offer A|Offer E|Offer F|Offer J,Offer A|Offer E|Offer F|Offer J,197
2026-01,CPS,Tier A,Location 1,148,Offer A|Offer F|Offer G|Offer H|Offer I,,,132
2026-01,CPS,Tier A,Location 1,424,Offer A|Offer F|Offer H,Offer A|Offer H,,1
2026-01,CPS,Tier A,Location 1,187,Offer A|Offer I|Offer J,Offer A|Offer J,Offer J,62
2026-01,CPS,Tier A,Location 1,486,Offer B|Offer C|Offer D|Offer E|Offer F|Offer G|Offer J,Offer C|Offer D|Offer E|Offer F|Offer G|Offer J,Offer D|Offer E|Offer F,44
2026-01,CPS,Tier A,Location 1,100,Offer B|Offer C|Offer D|Offer E|Offer G|Offer H|Offer I,,,100
2026-01,CPS,Tier A,Location 1,424,Offer B|Offer C|Offer D|Offer E|Offer H|Offer J,,,196
2026-01,CPS,Tier A,Location 1,82,Offer B|Offer C|Offer D|Offer F|Offer H,Offer B|Offer C|Offer H,,9
2026-01,CPS,Tier A,Location 1,176,Offer B|Offer C|Offer E|Offer F|Offer H|Offer J,Offer B|Offer C|Offer H|Offer J,Offer B|Offer C|Offer H|Offer J,85
2026-01,CPS,Tier A,Location 1,424,Offer B|Offer D|Offer E|Offer F|Offer H|Offer I|Offer J,Offer D|Offer F|Offer J,Offer J,124
2026-01,CPS,Tier A,Location 1,424,Offer B|Offer D|Offer E|Offer G|Offer H,Offer D|Offer G|Offer H,Offer D|Offer G|Offer H,21
2026-01,CPS,Tier A,Location 1,406,Offer B|Offer D|Offer E|Offer G|Offer H|Offer I|Offer J,Offer B|Offer I|Offer J,Offer B|Offer J,406
2026-01,CPS,Tier A,Location 1,407,Offer B|Offer D|Offer F|Offer J,Offer B|Offer D|Offer F|Offer J,Offer F,82
2026-01,CPS,Tier A,Location 1,265,Offer B|Offer D|Offer H|Offer I|Offer J,Offer B|Offer D|Offer H|Offer I|Offer J,Offer B,2
2026-01,CPS,Tier A,Location 1,176,Offer B|Offer D|Offer H|Offer I|Offer J,Offer J,,37
2026-01,CPS,Tier A,Location 1,237,Offer B|Offer D|Offer I,Offer B|Offer D|Offer I,Offer B,26
2026-01,CPS,Tier A,Location 1,486,Offer B|Offer E|Offer F|Offer G|Offer H,Offer B|Offer E|Offer F|Offer G|Offer H,Offer B|Offer F|Offer H,47
2026-01,CPS,Tier A,Location 1,220,Offer B|Offer E|Offer F|Offer H,,,22
