month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-04,CPS,Tier A,Location 1,204,Offer A,Offer A,,90
2026-04,CPS,Tier A,Location 1,168,Offer A|Offer B|Offer C|Offer D|Offer E|Offer F|Offer H,Offer A|Offer B|Offer C|Offer D|Offer E|Offer F|Offer H,Offer A|Offer F,85
2026-04,CPS,Tier A,Location 1,255,Offer A|Offer B|Offer C|Offer D|Offer E|Offer I,Offer A|Offer B|Offer C|Offer D|Offer E|Offer I,Offer A|Offer B|Offer C,65
2026-04,CPS,Tier A,Location 1,213,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer J,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer J,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer J,65
2026-04,CPS,Tier A,Location 1,280,Offer A|Offer B|Offer C|Offer D|Offer G|Offer I|Offer J,Offer C|Offer I,,196
2026-04,CPS,Tier A,Location 1,308,Offer A|Offer B|Offer C|Offer D|Offer H|Offer I|Offer J,Offer C|Offer D|Offer H|Offer I,Offer C|Offer D,178
2026-04,CPS,Tier A,Location 1,191,Offer A|Offer B|Offer C|Offer E|Offer F|Offer G|Offer H,Offer C|Offer F|Offer H,Offer C|Offer F,191
2026-04,CPS,Tier A,Location 1,110,Offer A|Offer B|Offer C|Offer E|Offer F|Offer I,Offer A|Offer B|Offer C|Offer E|Offer F|Offer I,,110
2026-04,CPS,Tier A,Location 1,206,Offer A|Offer B|Offer C|Offer G|Offer H,Offer C|Offer G|Offer H,Offer C|Offer G|Offer H,56
2026-04,CPS,Tier A,Location 1,327,Offer A|Offer B|Offer D|Offer E|Offer H|Offer I|Offer J,Offer A|Offer B|Offer H|Offer I,Offer A|Offer I,200
2026-04,CPS,Tier A,Location 1,211,Offer A|Offer B|Offer D|Offer H|Offer I,,,7
2026-04,CPS,Tier A,Location 1,400,Offer A|Offer B|Offer F|Offer G|Offer I|Offer J,Offer B,Offer B,60
2026-04,CPS,Tier A,Location 1,173,Offer A|Offer B|Offer F|Offer J,Offer A|Offer B|Offer F|Offer J,Offer A|Offer B|Offer F|Offer J,108
2026-04,CPS,Tier A,Location 1,371,Offer A|Offer B|Offer G|Offer H|Offer J,Offer A|Offer J,Offer A|Offer J,158
2026-04,CPS,Tier A,Location 1,404,Offer A|Offer B|Offer H,,,242
2026-04,CPS,Tier A,Location 1,374,Offer A|Offer C|Offer D,Offer C|Offer D,Offer C|Offer D,71
2026-04,CPS,Tier A,Location 1,255,Offer A|Offer C|Offer D|Offer E|Offer F|Offer G|Offer H,Offer A|Offer C|Offer E|Offer G,Offer A|Offer C|Offer E|Offer G,23
2026-04,CPS,Tier A,Location 1,126,Offer A|Offer C|Offer D|Offer E|Offer F|Offer H|Offer J,Offer C|Offer D|Offer E|Offer F|Offer J,Offer E,4
2026-04,CPS,Tier A,Location 1,308,Offer A|Offer C|Offer D|Offer F|Offer G,Offer A|Offer C|Offer F|Offer G,Offer A|Offer C|Offer F|Offer G,84
2026-04,CPS,Tier A,Location 1,475,Offer A|Offer C|Offer D|Offer H|Offer J,Offer A|Offer C|Offer D|Offer J,Offer A|Offer C|Offer D|Offer J,108
2026-04,CPS,Tier A,Location 1,275,Offer A|Offer C|Offer F|Offer H|Offer I,Offer C|Offer F,,275
2026-04,CPS,Tier A,Location 1,118,Offer A|Offer C|Offer F|Offer I,Offer C|Offer F|Offer I,Offer F|Offer I,118
2026-04,CPS,Tier A,Location 1,404,Offer A|Offer C|Offer G|Offer H|Offer I,,,17
2026-04,CPS,Tier A,Location 1,387,Offer A|Offer C|Offer G|Offer H|Offer I|Offer J,,,135
2026-04,CPS,Tier A,Location 1,327,Offer A|Offer C|Offer G|Offer I|Offer J,Offer G|Offer I|Offer J,Offer G|Offer I|Offer J,69
2026-04,CPS,Tier A,Location 1,190,Offer A|Offer D|Offer F|Offer H|Offer J,Offer J,,28
2026-04,CPS,Tier A,Location 1,213,Offer A|Offer E,Offer A,Offer A,17
2026-04,CPS,Tier A,Location 1,255,Offer A|Offer E|Offer G|Offer I,Offer A|Offer E,Offer E,167
2026-04,CPS,Tier A,Location 1,371,Offer A|Offer E|Offer I,Offer A|Offer E|Offer I,Offer A|Offer I,91
2026-04,CPS,Tier A,Location 1,204,Offer A|Offer F,Offer A|Offer F,Offer A,27
2026-04,CPS,Tier A,Location 1,280,Offer A|Offer G,,,3
2026-04,CPS,Tier A,Location 1,371,Offer A|Offer H,Offer A|Offer H,Offer A,4
2026-04,CPS,Tier A,Location 1,206,Offer A|Offer I,Offer A|Offer I,Offer A|Offer I,21
2026-04,CPS,Tier A,Location 1,190,Offer A|Offer I,Offer A|Offer I,Offer I,4
2026-04,CPS,Tier A,Location 1,173,Offer A|Offer I,Offer I,Offer I,4
2026-04,CPS,Tier A,Location 1,340,Offer A|Offer J,Offer A|Offer J,Offer A|Offer J,137
2026-04,CPS,Tier A,Location 1,453,Offer B|Offer C|Offer D|Offer E|Offer G|Offer I|Offer J,Offer D|Offer E|Offer G|Offer J,Offer E,453
2026-04,CPS,Tier A,Location 1,190,Offer B|Offer C|Offer D|Offer F|Offer G|Offer H|Offer I,Offer B|Offer C|Offer D|Offer F|Offer G|Offer H|Offer I,Offer B|Offer C|Offer D|Offer H,94
2026-04,CPS,Tier A,Location 1,387,Offer B|Offer C|Offer D|Offer F|Offer G|Offer I|Offer J,,,108
2026-04,CPS,Tier A,Location 1,215,Offer B|Offer C|Offer I,Offer C|Offer I,Offer C,215
2026-04,CPS,Tier A,Location 1,391,Offer B|Offer D|Offer E|Offer H|Offer J,Offer B|Offer D|Offer H|Offer J,,7
2026-04,CPS,Tier A,Location 1,126,Offer B|Offer D|Offer F|Offer G|Offer H,Offer B|Offer H,Offer B|Offer H,26
2026-04,CPS,Tier A,Location 1,126,Offer B|Offer E,,,96
2026-04,CPS,Tier A,Location 1,475,Offer B|Offer E|Offer F|Offer G|Offer H,Offer B|Offer G|Offer H,,367
2026-04,CPS,Tier A,Location 1,182,Offer B|Offer F|Offer G|Offer H|Offer I|Offer J,Offer G|Offer H|Offer I,Offer H|Offer I,31
2026-04,CPS,Tier A,Location 1,206,Offer B|Offer F|Offer H,Offer F,,2
2026-04,CPS,Tier A,Location 1,182,Offer B|Offer I|Offer J,,,2
2026-04,CPS,Tier A,Location 1,280,Offer B|Offer J,Offer J,Offer J,28
2026-04,CPS,Tier A,Location 1,168,Offer C,,,83
2026-04,CPS,Tier A,Location 1,190,Offer C,Offer C,,64
2026-04,CPS,Tier A,Location 1,280,Offer C|Offer D|Offer E|Offer F|Offer G|Offer H|Offer J,,,53
2026-04,CPS,Tier A,Location 1,371,Offer C|Offer D|Offer E|Offer F|Offer H|Offer J,Offer C|Offer D|Offer E|Offer H|Offer J,Offer H,118
2026-04,CPS,Tier A,Location 1,434,Offer C|Offer D|Offer F|Offer G,,,434
2026-04,CPS,Tier A,Location 1,211,Offer C|Offer D|Offer F|Offer G,Offer F,,83
2026-04,CPS,Tier A,Location 1,182,Offer C|Offer D|Offer F|Offer G|Offer H|Offer I,Offer D|Offer H|Offer I,Offer D|Offer H|Offer I,114
2026-04,CPS,Tier A,Location 1,211,Offer C|Offer D|Offer I,,,121
2026-04,CPS,Tier A,Location 1,204,Offer C|Offer E|Offer F|Offer G|Offer H|Offer I|Offer J,Offer F,,84
2026-04,CPS,Tier A,Location 1,404,Offer C|Offer E|Offer I,,,69
2026-04,CPS,Tier A,Location 1,173,Offer C|Offer F|Offer G|Offer H|Offer J,Offer C,,56
2026-04,CPS,Tier A,Location 1,610,Offer C|Offer G,,,118
2026-04,CPS,Tier A,Location 1,401,Offer C|Offer G|Offer H|Offer I|Offer J,Offer C|Offer G|Offer H|Offer J,Offer C|Offer G|Offer J,60
2026-04,CPS,Tier A,Location 1,204,Offer C|Offer I,,,3
2026-04,CPS,Tier A,Location 1,387,Offer C|Offer J,Offer C,Offer C,111
2026-04,CPS,Tier A,Location 1,173,Offer C|Offer J,Offer C|Offer J,Offer C|Offer J,5
2026-04,CPS,Tier A,Location 1,340,Offer D,Offer D,Offer D,14
2026-04,CPS,Tier A,Location 1,327,Offer D|Offer E|Offer F|Offer G|Offer H|Offer J,Offer D|Offer E|Offer G|Offer J,,58
2026-04,CPS,Tier A,Location 1,182,Offer D|Offer E|Offer F|Offer G|Offer I,Offer D|Offer E|Offer F|Offer G|Offer I,Offer D|Offer E|Offer F|Offer G|Offer I,15
2026-04,CPS,Tier A,Location 1,391,Offer D|Offer E|Offer I,Offer E,Offer E,384
2026-04,CPS,Tier A,Location 1,404,Offer D|Offer F|Offer G|Offer J,Offer D|Offer J,Offer D|Offer J,75
2026-04,CPS,Tier A,Location 1,340,Offer D|Offer F|Offer H,Offer D|Offer F,,39
2026-04,CPS,Tier A,Location 1,340,Offer D|Offer G|Offer I,Offer G|Offer I,Offer G,4
