month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-03,CPS,Tier A,Location 1,128,Offer A,,,35
2026-03,CPS,Tier A,Location 1,135,Offer A,Offer A,,135
2026-03,CPS,Tier A,Location 1,498,Offer A|Offer B,,,170
2026-03,CPS,Tier A,Location 1,378,Offer A|Offer B|Offer C|Offer D|Offer E|Offer H|Offer J,Offer J,,2
2026-03,CPS,Tier A,Location 1,94,Offer A|Offer B|Offer C|Offer D|Offer F|Offer G|Offer H,,,4
2026-03,CPS,Tier A,Location 1,412,Offer A|Offer B|Offer C|Offer D|Offer F|Offer I|Offer J,Offer A|Offer C|Offer D|Offer F|Offer I|Offer J,,6
2026-03,CPS,Tier A,Location 1,181,Offer A|Offer B|Offer C|Offer D|Offer H|Offer I|Offer J,Offer B|Offer C,Offer C,23
2026-03,CPS,Tier A,Location 1,181,Offer A|Offer B|Offer C|Offer E|Offer F|Offer G|Offer J,Offer B|Offer C|Offer G|Offer J,Offer B,59
2026-03,CPS,Tier A,Location 1,365,Offer A|Offer B|Offer C|Offer E|Offer F|Offer G|Offer J,Offer C|Offer F,Offer C,77
2026-03,CPS,Tier A,Location 1,332,Offer A|Offer B|Offer C|Offer G|Offer H|Offer I,,,48
2026-03,CPS,Tier A,Location 1,88,Offer A|Offer B|Offer D|Offer E|Offer F|Offer H|Offer J,Offer A|Offer B|Offer D|Offer E|Offer F|Offer H|Offer J,Offer E|Offer J,21
2026-03,CPS,Tier A,Location 1,457,Offer A|Offer B|Offer D|Offer E|Offer H|Offer I|Offer J,Offer A|Offer E|Offer H|Offer I|Offer J,Offer H,150
2026-03,CPS,Tier A,Location 1,181,Offer A|Offer B|Offer D|Offer E|Offer H|Offer J,Offer A|Offer B|Offer D|Offer J,Offer B|Offer D|Offer J,74
2026-03,CPS,Tier A,Location 1,262,Offer A|Offer B|Offer D|Offer G|Offer H|Offer I,Offer G,,142
2026-03,CPS,Tier A,Location 1,94,Offer A|Offer B|Offer D|Offer G|Offer H|Offer J,Offer D|Offer H,Offer H,32
2026-03,CPS,Tier A,Location 1,457,Offer A|Offer B|Offer E,Offer B|Offer E,,57
2026-03,CPS,Tier A,Location 1,378,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I,,,42
2026-03,CPS,Tier A,Location 1,339,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I,Offer E|Offer H,Offer E|Offer H,14
2026-03,CPS,Tier A,Location 1,88,Offer A|Offer B|Offer E|Offer G|Offer I|Offer J,Offer A|Offer E|Offer G|Offer I|Offer J,,39
2026-03,CPS,Tier A,Location 1,223,Offer A|Offer B|Offer E|Offer H|Offer J,Offer A|Offer H,Offer A,42
2026-03,CPS,Tier A,Location 1,358,Offer A|Offer B|Offer E|Offer I|Offer J,Offer E|Offer J,Offer J,103
2026-03,CPS,Tier A,Location 1,79,Offer A|Offer B|Offer F|Offer J,Offer A|Offer F,Offer F,7
2026-03,CPS,Tier A,Location 1,345,Offer A|Offer B|Offer I,Offer I,,195
2026-03,CPS,Tier A,Location 1,498,Offer A|Offer C,Offer A|Offer C,,278
2026-03,CPS,Tier A,Location 1,341,Offer A|Offer C,Offer A|Offer C,Offer A|Offer C,62
2026-03,CPS,Tier A,Location 1,442,Offer A|Offer C|Offer D,Offer A,,20
2026-03,CPS,Tier A,Location 1,88,Offer A|Offer C|Offer D|Offer E|Offer F|Offer G|Offer J,Offer C|Offer E,Offer E,28
2026-03,CPS,Tier A,Location 1,181,Offer A|Offer C|Offer D|Offer E|Offer I,Offer D|Offer E,Offer D|Offer E,6
2026-03,CPS,Tier A,Location 1,442,Offer A|Offer C|Offer D|Offer E|Offer I|Offer J,Offer C|Offer D|Offer E|Offer J,Offer C|Offer E|Offer J,375
2026-03,CPS,Tier A,Location 1,470,Offer A|Offer C|Offer E|Offer G,Offer C|Offer E,,308
2026-03,CPS,Tier A,Location 1,442,Offer A|Offer C|Offer F|Offer G|Offer I|Offer J,Offer I|Offer J,Offer I|Offer J,47
2026-03,CPS,Tier A,Location 1,79,Offer A|Offer C|Offer H,Offer C,Offer C,48
2026-03,CPS,Tier A,Location 1,498,Offer A|Offer D|Offer E|Offer F|Offer G|Offer J,Offer E,Offer E,50
2026-03,CPS,Tier A,Location 1,332,Offer A|Offer D|Offer F|Offer G|Offer H,Offer A|Offer D|Offer F|Offer H,Offer A,56
2026-03,CPS,Tier A,Location 1,332,Offer A|Offer D|Offer F|Offer H,Offer A|Offer D,Offer A|Offer D,40
2026-03,CPS,Tier A,Location 1,358,Offer A|Offer E|Offer G|Offer I|Offer J,Offer A|Offer E|Offer G|Offer I|Offer J,Offer A|Offer E|Offer G|Offer J,30
2026-03,CPS,Tier A,Location 1,128,Offer A|Offer G,Offer G,,17
2026-03,CPS,Tier A,Location 1,332,Offer A|Offer G|Offer H|Offer I|Offer J,Offer H|Offer J,Offer H,88
2026-03,CPS,Tier A,Location 1,341,Offer B|Offer C|Offer D|Offer E|Offer F|Offer J,Offer B|Offer D|Offer E,,90
2026-03,CPS,Tier A,Location 1,415,Offer B|Offer C|Offer D|Offer E|Offer G|Offer H|Offer I,Offer B|Offer D|Offer E|Offer I,Offer B|Offer E,218
2026-03,CPS,Tier A,Location 1,223,Offer B|Offer C|Offer D|Offer F|Offer G|Offer I,Offer B|Offer D|Offer F|Offer G|Offer I,Offer B|Offer D|Offer F|Offer G|Offer I,77
2026-03,CPS,Tier A,Location 1,59,Offer B|Offer C|Offer E|Offer F|Offer G|Offer J,Offer B|Offer C|Offer F|Offer G|Offer J,Offer B|Offer C|Offer G|Offer J,59
2026-03,CPS,Tier A,Location 1,370,Offer B|Offer C|Offer E|Offer F|Offer H|Offer I|Offer J,Offer B|Offer E|Offer F|Offer I,Offer E|Offer I,73
2026-03,CPS,Tier A,Location 1,412,Offer B|Offer C|Offer E|Offer H|Offer I,Offer B|Offer C|Offer H,Offer B|Offer C|Offer H,30
2026-03,CPS,Tier A,Location 1,430,Offer B|Offer C|Offer E|Offer H|Offer I|Offer J,Offer H|Offer I,Offer H,14
2026-03,CPS,Tier A,Location 1,262,Offer B|Offer C|Offer E|Offer I,,,22
2026-03,CPS,Tier A,Location 1,345,Offer B|Offer C|Offer G|Offer H,Offer C|Offer G|Offer H,,111
2026-03,CPS,Tier A,Location 1,93,Offer B|Offer C|Offer H|Offer J,Offer B|Offer H|Offer J,Offer J,93
2026-03,CPS,Tier A,Location 1,447,Offer B|Offer C|Offer J,Offer B|Offer C|Offer J,Offer B|Offer C|Offer J,447
2026-03,CPS,Tier A,Location 1,79,Offer B|Offer D|Offer F|Offer G|Offer I,Offer F,,6
2026-03,CPS,Tier A,Location 1,370,Offer B|Offer D|Offer G|Offer H|Offer I,Offer D|Offer H|Offer I,Offer I,93
2026-03,CPS,Tier A,Location 1,262,Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,Offer B|Offer E|Offer F|Offer I|Offer J,Offer B|Offer E|Offer F|Offer I|Offer J,98
2026-03,CPS,Tier A,Location 1,345,Offer B|Offer E|Offer F|Offer J,Offer J,,11
2026-03,CPS,Tier A,Location 1,457,Offer B|Offer E|Offer G,Offer G,,167
2026-03,CPS,Tier A,Location 1,411,Offer B|Offer E|Offer I|Offer J,Offer I,Offer I,411
2026-03,CPS,Tier A,Location 1,412,Offer B|Offer H|Offer I,Offer H,,290
2026-03,CPS,Tier A,Location 1,451,Offer C,Offer C,Offer C,217
2026-03,CPS,Tier A,Location 1,332,Offer C|Offer D|Offer E|Offer F|Offer I,,,182
2026-03,CPS,Tier A,Location 1,128,Offer C|Offer D|Offer E|Offer G|Offer I,Offer E,,76
2026-03,CPS,Tier A,Location 1,339,Offer C|Offer D|Offer F|Offer G|Offer H,,,325
2026-03,CPS,Tier A,Location 1,378,Offer C|Offer D|Offer F|Offer G|Offer H|Offer I|Offer J,Offer C|Offer D|Offer F|Offer G|Offer H|Offer I|Offer J,Offer F,104
2026-03,CPS,Tier A,Location 1,94,Offer C|Offer D|Offer J,Offer J,Offer J,16
2026-03,CPS,Tier A,Location 1,457,Offer C|Offer E|Offer H|Offer I,Offer E|Offer I,Offer E,26
2026-03,CPS,Tier A,Location 1,305,Offer C|Offer E|Offer H|Offer I|Offer J,Offer E|Offer H|Offer I,Offer I,305
2026-03,CPS,Tier A,Location 1,79,Offer C|Offer F|Offer G|Offer I,Offer C|Offer F|Offer G|Offer I,Offer C|Offer G|Offer I,1
2026-03,CPS,Tier A,Location 1,457,Offer C|Offer F|Offer J,Offer C|Offer F|Offer J,Offer J,57
2026-03,CPS,Tier A,Location 1,451,Offer C|Offer G,Offer C|Offer G,Offer C|Offer G,90
2026-03,CPS,Tier A,Location 1,341,Offer C|Offer G,Offer G,Offer G,109
2026-03,CPS,Tier A,Location 1,430,Offer D|Offer E|Offer F|Offer G|Offer H|Offer I,Offer F|Offer G,,416
